signal_id,bot,alert_date,candle_date,kind,direction,ticker,timeframe,entry_close,stop_level,chg_1d,chg_3d,chg_7d,chg_30d,chg_90d,chg_180d,last_chg,best_target_pct,realized_pct,tp_date,exit_date,stop_date,stop_chg,result,status
CRYPTO_APEPE27048-USD_12H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,APEPE27048-USD,12H,1.070727421e-06,1.058782686e-06,-0.78,,,,,,-0.78,0,,,,2026-06-21,-1.12,stopped_out,stopped_out
CRYPTO_PIEVERSE-USD_12H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,PIEVERSE-USD,12H,0.7157946229,0.6449711919,-2.70,,,,,,-2.70,0,,,,,,open,open
CRYPTO_NVDAX-USD_12H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,NVDAX-USD,12H,209.7709351,208.7910004,-0.42,,,,,,-0.42,0,,,,,,open,open
STOCK_ONBPO_WEEKLY_2026-06-15,stock_mid,2026-06-20,2026-06-15,STOCK,long,ONBPO,WEEKLY,25.01989937,24.80999947,+0.00,+0.00,,,,,+0.00,0,,,,2026-06-17,-0.84,stopped_out,stopped_out
STOCK_MSM_WEEKLY_2026-06-15,stock_mid,2026-06-20,2026-06-15,STOCK,long,MSM,WEEKLY,118.5100021,114.0500031,-1.04,+0.00,,,,,+0.00,0,,,,,,open,open
STOCK_KGS_WEEKLY_2026-06-15,stock_mid,2026-06-20,2026-06-15,STOCK,long,KGS,WEEKLY,69.18000031,65.38999939,-1.89,-0.00,,,,,-0.00,0,,,,2026-06-18,-5.48,stopped_out,stopped_out
STOCK_PLNT_WEEKLY_2026-06-15,stock_mid,2026-06-20,2026-06-15,STOCK,long,PLNT,WEEKLY,52.97999954,49.33000183,-5.02,+0.00,,,,,+0.00,0,,,,,,open,open
CRYPTO_BTC-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,BTC-USD,8H,64086.05859,63146.33984,-0.03,,,,,,-0.03,0,,,,,,open,open
CRYPTO_WBTC-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,WBTC-USD,8H,64000.67188,63135.60156,+0.18,,,,,,+0.18,0,,,,,,open,open
CRYPTO_BTCB-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,BTCB-USD,8H,64097.60547,63216.05859,+0.19,,,,,,+0.19,0,,,,,,open,open
CRYPTO_LTC-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,LTC-USD,8H,44.27999878,43.75,+1.49,,,,,,+1.49,0,,,,,,open,open
CRYPTO_DOT-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,DOT-USD,8H,0.9670000076,0.9480000138,-0.10,,,,,,-0.10,0,,,,,,open,open
CRYPTO_VBTC-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,VBTC-USD,8H,1305.740723,1287.900391,+0.20,,,,,,+0.20,0,,,,,,open,open
CRYPTO_GTBTC-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,GTBTC-USD,8H,64296.06641,63393.02344,+0.22,,,,,,+0.22,0,,,,,,open,open
CRYPTO_CBBTC32994-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,CBBTC32994-USD,6H,63848.08594,63388.70703,+0.65,,,,,,+0.65,0,,,,,,open,open
CRYPTO_JUP29210-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,JUP29210-USD,6H,0.2031999975,0.1948000044,+9.01,,,,,,+9.01,10,,2026-06-21,,,,open,open
CRYPTO_TBTC26133-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,TBTC26133-USD,6H,63924.83984,63519.66797,+0.56,,,,,,+0.56,0,,,,,,open,open
CRYPTO_SOLVBTC-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,SOLVBTC-USD,6H,63671.375,63345.05859,+0.67,,,,,,+0.67,0,,,,,,open,open
CRYPTO_DUCKY33852-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,DUCKY33852-USD,6H,0.0006406235625,0.0006335768267,+0.17,,,,,,+0.17,0,,,,,,open,open
CRYPTO_VELVET-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,VELVET-USD,6H,0.5022937059,0.4411145449,-8.43,,,,,,-8.43,0,,,,,,open,open
CRYPTO_THETA-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,THETA-USD,6H,0.1552132666,0.1508005708,+1.39,,,,,,+1.39,0,,,,,,open,open
CRYPTO_TBK39177-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,TBK39177-USD,6H,0.6171224117,0.5901731253,-1.63,,,,,,-1.63,0,,,,,,open,open
